disID,titre
725,measuring short risk
726,What count as a return?
727,Typing pattern match
728,Unconventional measures: Central Banks art.Lorenzo B. Smaghi
729,NPV calculation by Philip
730,Swisse National Bank (SNB) Conflicting Goals Question
731,"Why not always use multiples-based valuation methods? - March 27, 2017"
732,How do we calculate the risk?
733,Supplemental Reading
734,"Hello from Zimbabwe, Africa!"
735,Risk and Histograms
736,Why not always use multiples-based valuation methods?
737,Managing Risk
738,Both of you are amazing
739,Hedge fund vs Mutual Fund
740,"hey everyone .. greetings from Cary, North Carolina"
741,"P/E ratio, ""cheap"", and ""expensive"""
742,Why not Bangladesh!!!
743,Erratum
744,Extreme Events
745,Why is deflation quadrant bad/the worst?
746,Hello from Greece
747,Hello World
748,no quiz about week2?
749,welcome
750,Why do the stock prices of some companies not increase despite generating high Profits?
751,assumed knowledge
752,"About Question 3, Quiz 2"
753,"How much gold would you put in your portfolio? - April 17, 2017"
754,"Hi, everyone! I am Jessa from Philippines"
755,Am i the only one who can't open the readings?
756,Reference to Black Swan
757,Israel Guerrero
758,How is the the 'risk' calculated?
759,Buy / Hold / Sell
760,risk aversion or risk loving?
761,IN VIDEO QUIZ
762,Question
763,"hello from Madurai, India"
764,Practicing trading shares
765,When will Meeting Investors Goals begin
766,Debts
767,Could you please verify my assingments
768,Networking
769,"Questions 2 , 3 and 5"
770,Laws of supply and demand in currency exchange
771,Overvalued companies
772,Reflection of Week 1
773,"Do governments give bad incentives to banks? - March 02, 2016"
774,How much gold would you put in your portfolio?
775,valuing a market or index
776,How much gold would you put in your portfolio?
777,Learning for the Capstone project.
778,Relationship between bond prices (or yields) with economic growth.
779,"A minor bug in ""What is the real value of a currency?"""
780,Reference books / links for further reading or studies?
781,HELP
782,I don't say this easily but...
783,Convertible bonds
784,"Why not always use multiples-based valuation methods? - December 10, 2018"
785,about company
786,NPV Math Question
787,Is bitcoin stock currently over valued or under valued?
788,How to calculate the price of one share using Discounted Cashflow (DCF)?
789,mr
790,Volatility
791,Hi! Stelios from Greece
792,Hello
793,Hi everyone
794,Hedge Fund Video 3
795,Thank you for the course!
796,Hello from Denmark
797,Real estate
798,hello am from zimbabwe.
799,Introduction
800,GDP is government or business dependant?
801,Hi I'm not so great at maths and I'm finding it hard to finish before the deadline.
802,Hi
803,Japan vs South Africa
804,Hurry to catch up
805,Very little participation in the forums...
806,Confusing questions.
807,Hi...Amol from India
808,how yo build histogarm?
809,Hi！I am from China.I am very happy to see you.
810,Hello from Lithuania
811,Panama parallel
812,Hello to all the students enrolled in this course
813,Broken Reuters Glossary Link
814,HELLO FROM GOA!
815,"Hello, I am Diane from the United States."
816,Hello! I'm an alien from outer space
817,Safest Investments
818,I need help
819,Do others find the terms used in describing bond yield-price relationship misleading?
820,Mexican Peso hedge
821,Anyone from PH here?
822,Meeting Investors' Goals
823,About government bonds
824,"Real data, where?"
825,Hello From Iraq
826,"Why not always use multiples-based valuation methods? - May 07, 2018"
827,"How much gold would you put in your portfolio? - March 02, 2016"
828,"Why not always use multiples-based valuation methods? - April 17, 2017"
829,Terms
830,Feedback for week 1
831,Hello from Mexico
832,why terminal value Vn is discounted
833,"Hello,  Just finished week 2"
834,Navigator
835,Equation Expression
836,How to invest in GOLD?
837,"Do governments give bad incentives to banks? - October 04, 2018"
838,Hello
839,YTM
840,Recomended reading: Modigliani and Miller
841,why swiss franc is overvalued?
842,Normal distribuition
843,Meet and Great
844,"Greetings from Ottawa, Canada"
845,Hi from Fremont California
846,"Do governments give bad incentives to banks? - June 25, 2018"
847,My name is...
848,after Week 1 without payment
849,Is America going into recession...check the bond yields
850,video problem
851,Reading material of the course
852,Mistake in Some common mistakes you will no longer make after this course - Part 1?
853,Macro Prudential Measures
854,"Where to find this mentioned ""True PPP rate technique"" ???"
855,Hi
856,Hello from North Carolina
857,Access to quiz marks when not seeking certification
858,Hello from Ohio!
859,Question for Instructors: Gold - don't all hedging graphs in the videos point to just one hedge i.e. against inflation?
860,hello
861,Are you a hunter or a farmer?
862,German bonds yields negative
863,Hello from Montreal!
864,basic concepts in finance Part 6
865,terminal value
866,Introduction
867,Assignment
868,Hello from Brazil!
869,Quiz related questions
870,How long is the course available online?
871,Glossaries
872,"if all follow the same rule, would it be a problem?"
873,Hej Hej From Sweden
874,Hello
875,Sincere Greeting
876,Managing investments with computer programs.
877,“Public” and “Private”
878,"Answer of ques no 2,3,5,7"
879,undervalued currency / high economic growth
880,Hello from Mauritius
881,Short on Umbrellas/Long on Ice Cream - Question
882,Hello
883,Query to Dr. Michel Girardin: How come the 'Cooling Period' creates such high returns?
884,Expectation
885,why liberalisation improves valuation?
886,"Why does ""the long ice cream, short umbrella"" strategy have the lowest volatility?"
887,How to determine if the stock market is cheaper
888,Equity Index
889,Hello everyone
890,Volatility going long and short
891,Fianancial Aid
892,Hello
893,Bull vs Bear
894,Immediate Contradiction
895,Textbook for the course
896,How much is a company wort on the market PART 1
897,Welcome from Ukraine
898,Check the subtitles !
899,Quiz 1 (questions and answers)
900,the video could not be loaded
901,A computer algorithm is being used to predict the profitability of a film.
902,"Extra info for the week 2 ""how to fin the anchor E with the regression"""
903,EUR/YEN
904,hi from the other side
905,Leverage = Risk?
906,Benchmarking
907,How an equity index is made?
908,A new problem here
909,Collateral of uncovered bank bonds
910,Hello to my fellow students
911,Hello Classmates
912,Is the Chinese market the right market to compare with the US market
913,Doubts about cheap and expensive markets
914,Low Interest Rates could in fact spur heavy Bond Buying
915,Hello
916,Week 2 Quiz - Question 7
917,Assignment: Do you... overvalued? Prompt 4
918,Pending Verification
919,Hello from Germany
920,Bad Credit and High Interest Rate
921,Hi from Berlin
922,Must upgrade to  get test score
923,The role of risk agencies in the appreciation of an asset
924,"How much gold would you put in your portfolio? - November 12, 2018"
925,Hello from US/Philippines!
926,Exchange risk
927,Example in video 1
928,"Hello, Fellows"
929,Howdy from Texas
930,Muhammd Badshah
931,A question to Dr. Girardin on expectations about yield curve shape
932,Quiz 4 Question 3
933,Is equity market more tollerant to inflation increase than bonds?
934,What is the difference between a currency being 'undervalued' and being 'devalued'?
935,Hello
936,Learn how to invest - with practice
937,Meet and Great
938,In the long-short example are the volatility values chosen arbitrarily?
939,Doubts about bonds
940,Where can I download the slides from the presentation?
941,Hello from Silicon Valley
942,Hello from California and Beijing!
943,"HELLO FROM ANURAG, INDIA"
944,Hiii...
945,Is the efficiency of markets realy true?
946,Hello from Indonesia
947,"What does ""discounted to market pricing"" mean?"
948,Calculation of PPP
949,How much of the course is applicable in US and international market?
950,investing in bonds
951,Hello I am from New York City
952,Greetings
953,Technical Problems
954,University of Geneva programs
955,Time frame for statistical models of financial data
956,Video shorter than we might think
957,How do you get the result of (1742) TERMINAL VALUE IN THE EXAMPLE?
958,Hello!
959,REasoning based on prediction
960,Average on returns
961,issue with discount rate definition
962,the role of currency risk in EM equity vs. bond
963,MSEI
964,Hello From Wakanda!
965,Nathaniel from Germany
966,Class examples very unrealistic and misleading for novice investors
967,Hi from South Africa
968,Are companies obliged to let investors short sell them?
969,PE Ratio
970,"Emerging Markets' ""stability"""
971,LIBOR
972,Hello from India
973,"Hi, I'm from Santa Ana CA"
974,"Question abut the ""Hedge funds: going long… or short?"""
975,Hello Everyone
976,Yo From India
977,Help!!
978,"Hello from Zimbabwe, Africa!"
979,Hello from Lagos
980,Good Course
981,Duration vs Maturity
982,"How much gold would you put in your portfolio? - November 07, 2016"
983,Bonds and long term interest rates
984,Request from one of our learners
985,Recommended textbook
986,Non-working link in additional readings
987,Hi from Jamie in the USA
988,Disagree
989,Quizzes and assignments
990,The world economic growth in PPP overestimated or in nominal terms underestimated?
991,Failed quiz equities
992,Hello from Ohio!
993,Hello from Brazil!
994,"Hello from Varanasi , India"
995,New Mentor!
996,"Why not always use multiples-based valuation methods? - November 07, 2016"
997,How can an initial investment have a positive value?
998,Hello from Mumbai and Massachusetts
999,Hello from France
1000,Missed a deadline
1001,Economic Data
1002,Mistake
1003,Assignment 2 question 2 and 3
1004,Week 2 Video 1 and 2
1005,Quiz 2 HELP
1006,Some Topics About Real State
1007,Sameep Kodia
1008,P/E ratio question
1009,REITS (vs REAL ESTATE)
1010,Why is equity not related to currency volatility?
1011,Switch / Join New Session
1012,Hi from Rio de Janeiro
1013,"Greetings from Cairo, Egypt"
1014,NPV
1015,An Engineer in the Financial World
1016,Hello from New York!
1017,Greetings
1018,intro
1019,Histograms
1020,Hello from Canada
1021,"Britain, Germany and the EU"
1022,Hello from Switzerland
1023,Greetings from Singapore!
1024,I passed the quiz! can I re-take it for better grade?
1025,How to measure duration of the bond?
1026,Discount rate for DCF method
1027,Return-Risk Tradeoff
1028,Odd behavior in the discussion forums
1029,equity volatility
1030,When does an emerging market stop being emergent?
1031,Question in Basic concept in finance part-1
1032,Hello from Singapore!
1033,"Do governments give bad incentives to banks? - November 07, 2016"
1034,Hi I'm from Sri Lanka
1035,"hello from New York CIty, USA"
1036,Recommended Textbook
1037,assessment
1038,"Greetings from Toronto, Canada"
1039,Regarding NPV
1040,The Role of financial Markets
1041,Hi from Geneva!
1042,annualized return of gold exercise
1043,"Hello everyone , Clint from India"
1044,Question 3
1045,Hi
1046,Greetings From INDIA
1047,Greeting from India
1048,"Question regarding ""Mind the Currrency Gap"" segment"
1049,Terminal Value Formula
1050,You are an amazing professor...period
1051,Whatsapp Group
1052,Hello Class!
1053,Hi!
1054,Hello all!
1055,Shown Slides in PDF
1056,One typo in subtitle
1057,I am lost
1058,The raining B  - hilarious (2) : more subtitle bloopers
1059,Terminal Value error
1060,DCF Assessment for the value of a stock
1061,HI AM WADHAH FROM YEMEN
1062,"Quiz week 2, multiples question"
1063,Correct Answers Not Getting Graded
1064,"hi everybody,\nNice to meet all of you there, I'm BT from Vietnam."
1065,Meet and Greet
1066,"Significance of Debt in valuation of a company using ""Multiples"" approach"
1067,Book recommendation
1068,Quizz with the percentages
1069,Hello from Chicago
1070,Hello from Ghana
1071,Hello my classmates
1072,Hello Everyone
1073,Hello everyone I'm Thierry from Haïti.
1074,Introduction
1075,How many students are on this course?
1076,Hello from Lausanne
1077,calculating Performance
1078,Hello from New Jersey
1079,"Hello from Abuja, Nigeria"
1080,Hi from Houston
1081,new bright sight of real estate!
1082,"Hello from Warsaw, Poland"
1083,Currency Decisions
1084,My review of the Beta testing
1085,Great introduction!
1086,Basic concepts in finance - Part 5 - min 2:10 - skewness
1087,Hello from Nigeria
1088,Figure representations in Quiz 2
1089,July session
1090,Hello from France
1091,"Is the pair CHF/EUR shown in the chart, wrong?"
1092,how to calculate Terminal Value (based on the quiz) in detail.
1093,Quiz Week 3 Meeting Investors Goals
1094,Slide at 5:54
1095,portfolio construction
1096,Hello the World from Vietnam
1097,Quiz#2
1098,module 2 quiz
1099,Hello
1100,video: link between equity markets and the growth-inflation mix pt 2. cooling question
1101,Quiz Feedback
1102,HI CLASS!
1103,My Problem in Question 3
1104,Hi! James from Singapore here!
1105,Earlier release of other courses in this specilization
1106,any siuggestions for current financial news?
1107,QUIZ TECHNICAL PROBLEM
1108,Hello everyone
1109,Please explain terminology
1110,Hi Arif from Indonesia
1111,Query
1112,Round it to the nearest integer
1113,Time period for Discounted Cash Flow?
1114,Where are the Lecture Slides?
1115,"Hello from Mumbai, India"
1116,Over Valued or under valued
1117,"Are we Cooling-off or Growing now, March 2016?"
1118,PPP REGRESSION TECHNIQUE
1119,Market Valuation
1120,Quiz 3 question 7
1121,Confused about flattening of yield curve because of inflation expectations
1122,"Q9, quiz 2"
1123,Got confused?
1124,CHFEUR chart confusion: what is the real value of the currency video
1125,I could not upload quiz and assigments
1126,Namaste World!
1127,Couldn't find Glossary mentioned lecture videos
1128,hi
1129,Badly presented
1130,Fiduciary deposit
1131,FX Market Share by Currency?
1132,why not stock A should be select?
1133,Auditors of this course
1134,Late entrant from Jamaica
1135,Example 1 Compute Firm Value - Resolved
1136,Problems on the Equity quiz
1137,Warm greetings from Morocco
1138,Lower number when we calculate the multiple method versus the DCF.
1139,Code dump
1140,Mitsubishi motors in EUR
1141,"Hi, From Palo Alto Californa"
1142,How many months should we go back to calculate the average return?
1143,--
1144,Any recommendation for a tutor?
1145,Fat K
1146,Average return
1147,"Hello \n\nhello everyone, am Bolanle from Nigeria. am so excited to join this course and I hope to learn alot"
1148,What happen if the Weighted Avg Cost of Capital is smaller than the constant growth rate?
1149,Hello!
1150,On cash risk - Is it in regulations that insurance coverage is necessary in case of bank's bankruptcy these days?
1151,Investment Management General Concepts and Introduction
1152,Test
1153,Brilliant explanation!
1154,Hi
1155,Problem with week 3 quiz
1156,I can not solve these questions please help my friends
1157,How we write that
1158,Can not get past quiz
1159,Wrong statement made by the presenter!!
1160,Slide at 3:23
1161,I can not solve these questions please help my friends
1162,"Thoughts on the Introduction, Week 1 & 2 ?"
1163,Lesson not enough for quiz
1164,subtitle errors (in transcript)
1165,Bond Duration
1166,Concept of Duration
1167,Adding Percentages
1168,error in the terminal value formula??
1169,1407USD OUTSTANDING
1170,Capital return
1171,Equities - What will you learn in this module
1172,HOW TO ANSWER QUIZ 2- URGENT ASSISTANCE
1173,Yield to Maturity formula
1174,What information?
1175,Adding percentages
1176,How do we get Vn = (1+Gfcf) /( Rwacc - Gfcf) x FCFn ?
1177,Terminal Value Calculation compared to Gordon Growth Model
1178,Doubt about a question in Introductory Video
1179,"Question re  How Much is a Company Worth Part 1,Example1"
1180,NPV calculation for question#5
1181,What is the significance of 'Duration'?
1182,confusion
1183,QUIZ PROBLEM
1184,Which 'r' ???
1185,Mistake
1186,PPP value?
1187,help me please with week 3 test
1188,"A bug in the video ""A word of welcome"" of week 1"
1189,Hedge-fund-example:why-not-short-UM
1190,Emerging markets: bonds
1191,QUIZ QUESTIONS NOT CLEAR
1192,DCF value vs the price of market value
1193,Is there any real way to grow weath in India?
1194,Hello all!
1195,DCF example
1196,Volatility
1197,Is there any real way to grow wealth in India?
1198,Actual value of a short position in your portfolio.
1199,Q5 NPV calculation in quiz
1200,Question No. 7 Quiz: 2
1201,Hi from UCLA! Interested in research on MOOCs?
1202,Basic concepts in finance - adding percentages?
1203,definition lacking
1204,Currency risk
1205,Graded Quiz.
1206,Quiz 2
1207,Set up Identity
1208,Q2 people. help
1209,How come the red line starts at 35?
1210,NPV Calculation Question and Discount Rate
1211,Quiz
1212,Will Buffett win his S&P 500 fund vs Hedge Fund bet?
1213,Hi from San Diego
1214,Hello from Peter
1215,Hello from IIT Roorkee
1216,Obtaining the Volatility Measure
1217,Hello from New Jersey
1218,Relative PPP
1219,Terminal Value Mistake
1220,Hedge funds: a question to Dr. Girardin
1221,Are the returns calculated based on principal or is it compounded?
1222,NPV = 9.91 - rounding up to what decimal?
1223,Quiz 2  Q7
1224,Bond Price vs YTM
1225,"Hello from London, Canada"
1226,About the real value of a currency
1227,Can someone explain the 3 line chart?
1228,Pay for auditing the course?
1229,Quiz: no t0 at conditions of the question
1230,Problems on Number 7 in Quiz of equity
1231,Volatility  +IC/-UM (Module 3)
1232,Solution to this week quiz
1233,Didn't grasp the equation in week 3 completely
1234,Week 2; Video 2; NPV sample equation
1235,Completed the Quiz 01
1236,Graded quiz on the content of Module 1
1237,Question: to derive the PPP
1238,Brilliant Explanation of Monetary Policies
1239,Interest rates/bond/inflation loop
1240,Histogram Skewness
1241,To Course Creators: Professional Evaluation and Suggestions
1242,Course Certificate
1243,NPV - Help with the mathematics
1244,Hello From the Israeli in Ecuador!
1245,"In leverage, shouldn't the cost of the borrowed capital be considered as well?"
1246,Poll numbers don't add up
1247,"Other Financial Markets, Week-3"
1248,Reserve Bank of Australia goals
1249,annualized return
1250,"Hello from Mount Laurel, New Jersey, USA"
1251,Quiz 2  Q7
1252,Discount Rate
1253,I can not solve these questions please help my friends
1254,Quiz #2
1255,pls help me with answer to this question
1256,Quiz Week 2: valuation by comparison with other companies
1257,I can not solve these questions please help my friends
1258,How to measure risk?
1259,Computation Problems
1260,subtitle errors (in transcript)
1261,Quiz Q#8 Explanation Errata
1262,How to Calculate WACC and Discount Rate (r)
1263,Hi
1264,What is a passing mark - Do I need to pass every quiz?
1265,"What if you live in a ""no finance"" Country?"
1266,Calculating the Reduced Price of a Bond As the Yield Increases for New Issues of the Bond
1267,Understanding Financial Markets Week 2 Module 2
1268,I'll be off for a while
1269,Question
1270,US GDP growth has changed remarkably
1271,Quiz Error? Week 1 Quiz 1 Question #7 & 8
1272,HELP Quiz 1
1273,Negative Yield to Maturity Fixed Income Instruments
1274,Is the terminal value formula incorrect?
1275,Doubt about a question in Introductory Video
1276,Can Anyone tell em please what is wrong with Q no2 and QNo 8
1277,What does bonds return mean?
1278,Is the global access of securities always a good thing?
1279,Assignment 2 (Quize XYZ) question 7
1280,dont understand the chart
1281,Ratio of global equity value to GDP
1282,"Can someone explain 4th video, diagram at 3:00"
1283,Question about how to calculate duration
1284,Flawed lecture
1285,Hello everyone! I'm Belarusian student doing Master degree in Finance in Shanghai!
1286,"Skopje calling, Macedonia"
1287,"Why not always use multiples-based valuation methods? - November 14, 2016"
1288,US trades in terms of USD and not in terms of gold. Can all countries do that?
1289,certificate
1290,Cash - lower risk vs government bonds
1291,slides download link available
